CGPA,TargetCompany,Skills,SkillMatchPct,PlacementProbability,PlacementStatus
8.8,Adobe,"Algorithms, UI/UX, Penetration Testing, PostgreSQL, Problem Solving, JavaScript, Svelte, C++, Kubernetes, Big Data",66.67,71.4,Medium Chance
5.9,Netflix,"Transformers, NumPy, Unit Testing, Kafka, Python, TensorFlow, NLP, Pytest, Data Modeling, Jest",28.57,30.0,Low Chance
6.2,Adobe,"Node.js, Deep Learning, Swift, PyTorch",0.0,10.5,Low Chance
7.4,Stripe,"GitHub Actions, TypeScript, Communication, Go, JavaScript, TensorFlow, NLP",28.57,32.6,Low Chance
9.4,Microsoft,"Distributed Systems, C#, TypeScript, Cloud, Leadership, NLP, Data Structures, Apache Spark, Spring Boot",57.14,66.8,Medium Chance
6.1,Apple,"R, Leadership, Product Management, Docker, Event-Driven Architecture",0.0,8.4,Low Chance
9.0,Amazon,"Distributed Systems, Ansible, SQL, TypeScript, AWS, Cypress, Docker, Leadership, Neo4j, Microservices, Data Structures, System Design, Linux, Snowflake, Agile",85.71,84.4,High Chance
8.8,Adobe,"REST APIs, Algorithms, UI/UX, Prisma, Kafka, JavaScript, Svelte, Vue.js, React, C++, Data Structures, Kubernetes, Prometheus",83.33,86.8,High Chance
6.5,Uber,"PHP, LangChain, CI/CD, C++, System Design, Serverless, Redis, Big Data, Java",42.86,30.1,Low Chance
9.5,Nvidia,"OpenCV, SQL, Communication, Algorithms, PyTorch, OAuth, CUDA, LLMs, Python, Go, Critical Thinking, C++, Pytest, Vector Databases, Appium",71.43,84.4,High Chance
8.0,Apple,"Leadership, C++, Operating Systems, Cybersecurity, FastAPI, Deep Learning",33.33,28.1,Low Chance
6.8,OpenAI,"Neo4j, Unit Testing, JWT, Appium, NLP, WebSockets",0.0,10.5,Low Chance
5.6,TCS,"GitHub Actions, Distributed Systems, Apache Spark",0.0,17.5,Low Chance
8.5,Uber,"GitHub Actions, TypeScript, Algorithms, Scikit-Learn, MongoDB, System Design, Redis, Big Data, Java",57.14,60.2,Medium Chance
5.2,Wipro,"Ruby, Jest, Express.js, Cassandra",0.0,10.4,Low Chance
9.2,IBM,"GitHub Actions, Machine Learning, Ansible, Redux, Ruby, Data Science, Cloud, LLMs, PostgreSQL, Python, Linux",83.33,86.3,High Chance
9.2,Adobe,"Communication, REST APIs, PyTorch, React, Angular, Jest",16.67,50.1,Medium Chance
5.5,Google,"MongoDB, Tailwind CSS",0.0,8.7,Low Chance
6.9,Wipro,"TypeScript, SQL, Next.js, PostgreSQL, Microservices, ETL, Agile",20.0,35.0,Low Chance
7.5,TCS,"DynamoDB, SQL, Svelte, Problem Solving, JavaScript",60.0,58.1,Medium Chance
7.0,OpenAI,"Transformers, OpenCV, CI/CD, LLMs, Swift, Vector Databases",28.57,26.7,Low Chance
6.2,Google,"Distributed Systems, GitHub Actions, Ansible, JWT, MongoDB, C++, Terraform, Appium",28.57,18.7,Low Chance
7.5,Meta,"TypeScript, OpenCV, Communication, Docker, Cypress, Problem Solving, JavaScript, React, Django, Big Data",42.86,42.8,Low Chance
6.6,TCS,"DynamoDB, ASP.NET, Rust, Team Collaboration, Go, Agile",20.0,29.5,Low Chance
7.8,Uber,"Azure, TypeScript, Cypress, Go, Microservices, Data Structures, Terraform, Redis, Java",57.14,59.5,Medium Chance
5.6,IBM,"Ansible, Docker, Flask, Transformers, Object-Oriented Programming",0.0,16.9,Low Chance
9.7,Wipro,"SQL, Communication, Ruby, Algorithms, Cloud, Python, GCP, R, Java",100.0,93.9,High Chance
8.3,IBM,"Machine Learning, LangChain, CI/CD, Data Science, Cloud, Kotlin, Python, Elasticsearch, JavaScript, Scrum, System Design, Grafana, ETL, Agile, Java",83.33,77.5,High Chance
8.6,Google,"Distributed Systems, Machine Learning, Ansible, GitHub Actions, NumPy, Algorithms, Databricks, Go, Data Structures, System Design, C++, NLP, Node.js, Jest, Deep Learning",85.71,77.9,High Chance
8.1,Salesforce,"TypeScript, OAuth, Transformers, Ansible, Next.js, Cloud, RAG, Pandas, Flask, Java",50.0,53.6,Medium Chance
8.1,Infosys,"SQL, Communication, Event-Driven Architecture, PHP, Web Development, Leadership, Design Patterns, Deep Learning, Python, NLP, Django, Java",100.0,90.4,High Chance
7.6,Salesforce,"TypeScript, REST APIs, Redux, LangChain, Next.js, CI/CD, ASP.NET, Cloud, Agile",50.0,54.4,Medium Chance
9.6,TCS,"SQL, Event-Driven Architecture, Prisma, Team Collaboration, Scikit-Learn, Problem Solving, JavaScript, Prometheus, Pytest, Cybersecurity, Linux, Apache Spark, Swift, Vector Databases, Java",100.0,96.3,High Chance
6.1,Microsoft,"Distributed Systems, Machine Learning, TypeScript, Communication, LLMs, JavaScript, Vue.js, C++, Pytest, Flask",42.86,26.7,Low Chance
8.9,Netflix,"Distributed Systems, Prompt Engineering, AWS, Supabase, Kafka, Python, Vue.js, Tableau, System Design, Data Modeling, Java",85.71,83.6,High Chance
9.0,Apple,"C#, Transformers, Problem Solving, Python, Microservices, ETL, C++, Data Structures, Operating Systems, Pytest, Apache Spark, Swift, Power BI",100.0,93.9,High Chance
8.0,Uber,"Scikit-Learn, Go, Kafka, Microservices, Express.js, TensorFlow, System Design, GraphQL, Deep Learning",57.14,55.9,Medium Chance
6.4,Adobe,"Next.js, PostgreSQL, Python, JavaScript, TensorFlow, React, C++",66.67,37.7,Low Chance
8.0,Meta,"TypeScript, Transformers, Algorithms, LangChain, Prisma, JavaScript, Python, Express.js, React, TensorFlow, C++, System Design, Jest, GraphQL",100.0,82.6,High Chance
6.6,Infosys,"Kafka, Terraform, TypeScript",0.0,16.6,Low Chance
9.0,TCS,"Rust, CI/CD, Team Collaboration, Penetration Testing, Problem Solving, JavaScript, Grafana, Jest",60.0,74.6,High Chance
7.6,Nvidia,"Team Collaboration, LLMs, Fine-Tuning, Computer Vision, Elasticsearch, NLP, Jest",14.29,26.6,Low Chance
9.0,Meta,"TypeScript, Algorithms, LangChain, Databricks, Python, React, System Design, Grafana, GraphQL",85.71,81.4,High Chance
6.9,Apple,"AWS, Problem Solving, Tableau, Express.js, Data Structures, C++, Operating Systems, Prometheus",66.67,41.4,Low Chance
7.6,Uber,"GitHub Actions, Azure, Distributed Systems, Algorithms, Problem Solving, Kafka, Microservices, C++, System Design",57.14,54.0,Medium Chance
7.6,Uber,"PyTorch, Cypress, Kafka, WebSockets, Data Structures, System Design, Apache Spark, Cybersecurity, Redis, Appium",42.86,47.6,Medium Chance
6.8,Wipro,"REST APIs, Communication, Go, Python, React, C++, Apache Spark, Spring Boot, Deep Learning",40.0,40.7,Low Chance
8.9,Nvidia,"Algorithms, PyTorch, Pandas, Python, GCP, RAG, C++, GraphQL",57.14,63.9,Medium Chance
7.8,Netflix,"Distributed Systems, AWS, MySQL, Scikit-Learn, Kafka, Elasticsearch, Tableau, Spring Boot, Pandas",42.86,54.4,Medium Chance
6.4,Uber,"Agile, AWS, Algorithms, Pandas, Scikit-Learn, Hugging Face, Elasticsearch, Cybersecurity, Redis, Kubernetes",28.57,27.5,Low Chance
7.9,Accenture,"SQL, Event-Driven Architecture, Ruby, Rust, Cloud, Neo4j, Kubernetes, Deep Learning",40.0,55.7,Medium Chance
8.2,Nvidia,"Azure, TypeScript, Redux, SQL, Algorithms, PyTorch, MySQL, CUDA, Python, WebSockets, C++, System Design, Linux, ETL, Vector Databases, Deep Learning",85.71,49.4,Medium Chance
9.3,Apple,"ASP.NET, PHP, Prompt Engineering, Unit Testing, Neo4j, Problem Solving, Python, GCP, JavaScript, WebSockets, Data Structures, Operating Systems, Pytest, Apache Spark, Big Data",66.67,80.9,High Chance
7.0,Amazon,"Microservices, Product Management, Django",14.29,20.0,Low Chance
6.7,Oracle,"NumPy, Databricks, Data Structures, R, Database Design, Java",50.0,37.8,Low Chance
6.9,Infosys,"Vector Databases, Transformers, Angular, Critical Thinking, LLMs, TensorFlow",0.0,23.2,Low Chance
9.0,Adobe,"Distributed Systems, NumPy, Algorithms, UI/UX, Unit Testing, Team Collaboration, Python, JavaScript, Tableau, React, ETL, C++, Grafana, Django, Spring Boot",100.0,89.8,High Chance
8.1,Oracle,"Ansible, MySQL, Cloud, Python, Database Design, Redis",33.33,49.9,Medium Chance
9.9,Adobe,"UI/UX, Prisma, JavaScript, Python, TensorFlow, React, Express.js, C++",83.33,88.9,High Chance
7.2,Uber,"Redux, JWT, Databricks, Scikit-Learn, Computer Vision, Microservices, Angular, System Design, Node.js, Java",42.86,37.5,Low Chance
6.8,TCS,"Unit Testing, Ruby, gRPC, CI/CD, Design Patterns, JavaScript, NLP, Snowflake, Vector Databases, Appium",20.0,34.2,Low Chance
5.6,Amazon,"ASP.NET, Apache Spark, Prompt Engineering, Node.js, FastAPI, GCP",0.0,11.6,Low Chance
6.7,Nvidia,"LangChain, Leadership, CUDA, Computer Vision, JavaScript, Vue.js, Microservices, NLP",28.57,20.7,Low Chance
7.3,Infosys,"JWT, SQL, Communication, Problem Solving, Python, Tailwind CSS, Java",80.0,61.3,Medium Chance
7.7,Salesforce,"PyTorch, Neo4j, Go, Big Data, Angular, Pytest, Linux, Flask, Java",16.67,44.7,Low Chance
7.6,IBM,"OpenCV, Algorithms, Data Science, Cloud, Python, Angular, Data Structures, Java",66.67,60.8,Medium Chance
8.1,Accenture,"Distributed Systems, Supabase, Cloud, TensorFlow, Agile, Java",60.0,63.0,Medium Chance
6.2,Oracle,"Computer Vision, Kubernetes, Node.js",0.0,14.5,Low Chance
9.7,Meta,"Distributed Systems, TypeScript, OAuth, Algorithms, gRPC, MySQL, JavaScript, Python, React, NLP, System Design, Snowflake, GraphQL",100.0,92.9,High Chance
8.6,Accenture,"SQL, AWS, Penetration Testing, Problem Solving, Apache Spark, Snowflake, Java",60.0,75.6,High Chance
10.0,OpenAI,"Distributed Systems, Transformers, Algorithms, PyTorch, LLMs, Python, Data Modeling, Serverless, Deep Learning",100.0,94.6,High Chance
6.6,Salesforce,"Appium, Vector Databases, AWS, REST APIs, Microservices",16.67,17.7,Low Chance
6.7,Netflix,"gRPC, Supabase, Leadership, Svelte, Python, JavaScript, TensorFlow, System Design",28.57,33.6,Low Chance
6.5,Accenture,"GitHub Actions, Azure, SQL, Ruby, Critical Thinking, NLP, GraphQL, Big Data",20.0,33.5,Low Chance
9.1,Nvidia,"Azure, OAuth, Algorithms, PyTorch, Java, Supabase, CUDA, Computer Vision, Python, C++, Tailwind CSS, Spring Boot, GraphQL, Deep Learning",100.0,95.1,High Chance
6.0,TCS,"gRPC, GraphQL, Prometheus, PostgreSQL, Fine-Tuning, GCP",0.0,17.8,Low Chance
8.0,Accenture,"SQL, PyTorch, TensorFlow, Scrum, Cybersecurity, Agile",40.0,53.8,Medium Chance
7.8,Nvidia,"Redux, OAuth, CUDA, Svelte, Fine-Tuning, Kafka, C++, Redis",28.57,28.3,Low Chance
8.8,Apple,"Team Collaboration, Hugging Face, Problem Solving, Python, MongoDB, Data Structures, C++, Operating Systems, Cybersecurity, Jest, Big Data",83.33,83.1,High Chance
8.3,Salesforce,"TypeScript, SQL, REST APIs, Cloud, Kotlin, Problem Solving, Python, Critical Thinking, Angular, Product Management, System Design, Linux, Data Modeling, Jest, Java",100.0,87.6,High Chance
7.9,Google,"Distributed Systems, Prompt Engineering, Algorithms, Fine-Tuning, Python, Elasticsearch, C++, System Design, Data Structures, Linux, Cybersecurity, Vector Databases, Java",85.71,49.3,Medium Chance
5.9,Wipro,"Leadership, Django, R, SQL, Vector Databases",20.0,18.1,Low Chance
9.3,Wipro,"Redux, SQL, NumPy, REST APIs, Team Collaboration, MySQL, Cloud, Supabase, Design Patterns, Computer Vision, Python, Critical Thinking, Java",80.0,86.4,High Chance
8.9,Amazon,"Machine Learning, Transformers, SQL, Azure, Ruby, NumPy, Leadership, Microservices, Critical Thinking, Data Structures, System Design, Appium, Big Data, Java",85.71,90.6,High Chance
5.3,Wipro,"Tailwind CSS, Object-Oriented Programming, NumPy",0.0,7.6,Low Chance
7.5,Microsoft,"AWS, Svelte, Critical Thinking, C++, GraphQL, Airflow",14.29,31.4,Low Chance
6.5,Oracle,"Express.js, NumPy, PostgreSQL, Communication",0.0,17.5,Low Chance
8.3,Accenture,"SQL, Docker, Cloud, Kotlin, Databricks, Problem Solving, WebSockets, Product Management, Agile, Java",100.0,90.6,High Chance
6.3,Oracle,"C#, ETL, Cassandra, Appium",0.0,16.0,Low Chance
7.4,Salesforce,"TypeScript, SQL, DynamoDB, Cloud, Scrum, Pytest, Power BI, Java",66.67,55.3,Medium Chance
8.1,Stripe,"Distributed Systems, TypeScript, Ruby, CI/CD, PostgreSQL, Go, API Design, System Design, Jest, Deep Learning",100.0,82.0,High Chance
